IdKind;Geslacht;Postcode;Gemeente;IndStatus;LlGroep;IdKeuze;Voorkeur;School;Roepnaam;SchoolNummer;Vestigingsnummer;Wijk;Net;Status;Random;Voorrangsgroep;StraatSchool;NrSchool;BusSchool;PcSChool;GemeenteSchool
4c2c5caf-925a-45ac-a600-6f4d95bda8f0;Man;9940;EVERGEM;onbepaald;1ste secundair stroom A;7d31f376-b896-4114-9a4c-72d10a68272d;1;Einstein Atheneum campus Evergem;Einstein Atheneum campus Evergem;43216;1;Buiten Gent;GO!;Ingeschreven;11059;REST;Hofbilkstraat ;21;;9940;Evergem
14ad3934-2f5b-4c50-98d6-bb5947db4fd0;Man;9000;GENT;onbepaald;1ste secundair stroom A;393a4180-8589-4a4f-9031-25a991157864;1;EDUGO De Brug;EDUGO De Brug;127712;1;Oostakker;Vrij katholiek onderwijs;Ingeschreven;6065;BZ;Simone Duboisstraat ;15;;9041;Oostakker
51fe52c6-22ed-41ff-a918-507b29cc1e96;Man;9031;Drongen;onbepaald;1ste buitengewoon secundair stroom A;4ded5ef2-614a-421b-a7ec-311ce2b836fa;1;BuSO Instituut Bert Carlier - Opleidingsvorm 4;BuSO Het Kwadrant;28191;4;Watersportbaan – Ekkergem;Stedelijk onderwijs;Ingeschreven;11183;REST;Offerlaan;3;;9000;Gent
51fe52c6-22ed-41ff-a918-507b29cc1e96;Man;9031;Drongen;onbepaald;1ste buitengewoon secundair stroom A;f5afdc0d-30e4-4422-bdf1-25894c998961;2;GO! BuSo Reynaertschool Campus Impuls;BuSO Campus Impuls Drongen;27326;2;Drongen;GO!;Afgemeld;3940;REST;Baarleboslaan;86;;9031;Drongen
51fe52c6-22ed-41ff-a918-507b29cc1e96;Man;9031;Drongen;onbepaald;1ste buitengewoon secundair stroom A;0cb8aabe-e2f4-40ed-9525-db8f54eda363;3;Instituut voor Buitengewoon Onderwijs IVIO Binnenhof;BuSO IVIO Binnenhof Molenaarsstraat;144659;4;Sluizeken – Tolhuis – Ham;Vrij katholiek onderwijs;Afgemeld;11044;REST;Molenaarsstraat;30;;9000;Gent
7714aa82-3d0d-447a-a2a1-6032c6ccbb01;Man;9000;GENT;onbepaald;1ste buitengewoon secundair stroom A;53cc0728-0883-46bd-adb1-13121a2f9559;1;BuSO Instituut Bert Carlier - Opleidingsvorm 4;BuSO Het Kwadrant;28191;4;Watersportbaan – Ekkergem;Stedelijk onderwijs;Ingeschreven;10848;REST;Offerlaan;3;;9000;Gent
fffe8266-3cdd-4a1b-a507-64ab925c5122;Vrouw;9820;Lemberge;onbepaald;1ste secundair stroom B;52172cd9-7ba5-4208-b539-8e7832a93bc7;1;Tectura Tuinbouwschool Melle;Tectura Tuinbouwschool Melle;43562;1;Buiten Gent;GO!;Plaats Vrijgegeven;5620;REST;Brusselsesteenweg ;165;;9090;Melle
fffe8266-3cdd-4a1b-a507-64ab925c5122;Vrouw;9820;Lemberge;onbepaald;1ste secundair stroom B;111c0af6-76a5-475f-bdbe-6ffaa328ec51;2;Hotelschool Gent;Hotelschool Gent;36764;2;Binnenstad;Stedelijk onderwijs;Afgemeld;6866;REST;Lange Violettestraat ;10;;9000;Gent
3b19594d-ae76-4134-807e-cfd269f9f88c;Man;9000;GENT;onbepaald;1ste secundair stroom A;b755b441-21f4-4f9a-8960-caaf26799df0;1;Atheneum Wispelberg;Wispelberg;112102;1;Elisabethbegijnhof – Papegaai;Stedelijk onderwijs;Plaats Vrijgegeven;9365;REST;Wispelbergstraat;2;;9000;Gent
3b19594d-ae76-4134-807e-cfd269f9f88c;Man;9000;GENT;onbepaald;1ste secundair stroom A;1491b086-eea2-488a-9060-434f2230a65c;2;Sint-Lievenscollege 1;Sint-Lievenscollege Humaniora;127688 & 127696;1;Binnenstad;Vrij katholiek onderwijs;Ingeschreven;8465;REST;Zilverenberg;1;;9000;Gent
3b19594d-ae76-4134-807e-cfd269f9f88c;Man;9000;GENT;onbepaald;1ste secundair stroom A;916e3991-cbd4-489f-beaf-94dd8183e282;3;Sint-Bavohumaniora Middenschool;Sint-Bavohumaniora;112169;1;Binnenstad;Vrij katholiek onderwijs;Afgemeld;3535;REST;Reep;4;;9000;Gent
