child_id	garten_id	pref_nr	distance_m	has_sib
45	1	4	7046	0
44	1	6	15870	0
43	1	6	9991	0
23	1	6	9002	0
42	1	6	8476	0
41	1	6	5500	0
4	1	6	6221	0
40	1	3	6063	0
39	1	2	4231	0
38	1	6	6551	0
37	1	1	12107	0
36	1	4	7649	0
35	1	6	12984	0
34	1	6	6746	0
135	1	6	6061	0
33	1	5	12640	0
24	1	5	7280	0
25	1	5	6035	0
32	1	5	12165	0
150	1	6	13354	0
31	1	6	12746	0
30	1	7	12835	0
29	1	7	13993	0
28	1	4	11627	0
27	1	7	13196	0
26	1	5	7555	0
134	1	5	13109	0
133	1	6	12462	0
132	1	5	12709	0
131	1	7	6063	0
130	1	5	6432	0
129	1	6	5500	0
5	1	6	12305	0
128	1	1	5806	0
1	1	6	6179	0
127	1	3	6800	0
126	1	3	12499	0
125	1	4	12703	0
149	1	7	12161	0
124	1	4	16474	0
6	1	5	6086	0
123	1	5	7662	0
122	1	5	6270	0
121	1	4	6170	0
120	1	6	12840	0
147	1	7	13133	0
119	1	6	12758	0
7	1	6	7387	0
118	1	1	9485	0
117	1	4	5844	0
116	1	6	6086	0
115	1	6	6428	0
114	1	4	7877	0
113	1	7	12500	0
146	1	6	16386	0
8	1	2	12045	0
112	1	4	6311	0
9	1	6	13280	0
145	1	6	6555	0
111	1	2	4658	0
110	1	7	6340	0
109	1	6	13167	0
108	1	6	7874	0
107	1	4	4100	0
106	1	7	6179	0
105	1	6	12455	0
10	1	5	13417	0
104	1	4	18976	0
103	1	5	7188	0
151	1	7	12219	0
102	1	7	17552	0
101	1	2	17575	0
100	1	2	6428	0
144	1	7	15581	0
99	1	7	17352	0
11	1	7	11445	0
98	1	4	7686	0
97	1	4	4541	0
96	1	7	16454	0
95	1	5	15918	0
2	1	7	10334	0
94	1	6	13337	0
12	1	3	6781	0
93	1	5	12226	0
92	1	6	6528	0
91	1	4	5367	0
90	1	6	16512	0
143	1	7	12840	0
89	1	6	6179	0
13	1	6	6087	0
88	1	2	12444	0
87	1	6	11636	0
86	1	5	5903	0
85	1	6	18135	0
14	1	2	11715	0
84	1	7	16210	0
142	1	6	7284	0
83	1	5	15622	0
82	1	2	9635	0
81	1	6	6221	0
80	1	7	6179	0
141	1	6	13065	0
79	1	6	12424	0
15	1	4	14183	0
78	1	6	7505	0
77	1	6	6428	0
76	1	5	4269	0
75	1	5	14899	0
74	1	6	6682	0
140	1	6	11967	0
73	1	6	10163	0
16	1	5	7308	0
72	1	5	6087	0
71	1	6	16415	0
70	1	7	13500	0
152	1	7	16098	0
69	1	6	7874	0
17	1	6	6188	0
68	1	6	7874	0
67	1	6	12516	0
66	1	4	12277	0
18	1	6	11272	0
65	1	6	13036	0
64	1	6	15619	0
139	1	6	6270	0
63	1	6	6128	0
62	1	7	6165	0
61	1	1	17908	0
60	1	7	12328	0
59	1	6	14182	0
3	1	6	6285	0
58	1	5	6409	0
19	1	6	15984	0
57	1	6	13405	0
56	1	6	1448	0
55	1	6	6316	0
54	1	4	7571	0
138	1	5	8047	0
53	1	6	6285	0
20	1	7	4816	0
137	1	5	7685	0
52	1	7	14137	0
21	1	6	14893	0
51	1	2	4541	0
50	1	5	12864	0
49	1	6	12652	0
48	1	6	19892	0
47	1	7	6422	0
22	1	5	6466	0
46	1	6	12763	0
136	1	4	8428	0
38	2	1	620	0
1	2	1	197	1
2	2	6	7236	0
3	2	1	230	0
4	2	3	1551	0
5	2	5	6714	0
6	2	1	291	0
7	2	3	2024	0
8	2	3	15215	0
9	2	3	7689	0
10	2	3	7826	0
11	2	2	8177	0
12	2	2	1058	0
13	2	1	297	1
14	2	4	11561	0
15	2	3	8593	0
16	2	2	1586	0
17	2	1	183	0
18	2	3	8300	0
19	2	3	11565	0
20	2	3	3609	0
21	2	3	9302	0
22	2	1	805	1
23	2	2	6237	0
24	2	3	1557	0
25	2	1	323	0
26	2	2	1964	0
27	2	1	7605	0
28	2	1	7805	0
29	2	1	8402	1
30	2	4	7245	0
31	2	3	7155	0
32	2	7	6574	0
33	2	4	7049	0
34	2	3	1085	0
35	2	3	7393	0
36	2	2	1708	0
37	2	2	15278	0
39	2	3	3376	0
40	2	1	244	0
41	2	1	1331	0
42	2	4	2885	0
43	2	2	4401	0
44	2	1	11451	0
45	2	5	1324	0
46	2	1	9350	0
47	2	2	1416	0
48	2	2	17890	0
49	2	1	7061	0
50	2	3	7273	0
51	2	5	4504	0
52	2	1	10723	0
53	2	1	230	0
54	2	2	1980	0
55	2	1	373	0
56	2	4	6993	0
57	2	4	7814	0
58	2	1	685	0
59	2	3	8591	0
60	2	1	12160	1
61	2	2	12317	0
62	2	1	160	0
63	2	1	248	0
64	2	1	10105	0
65	2	3	7445	0
66	2	3	6687	0
67	2	3	6925	0
68	2	3	2283	0
69	2	2	2283	0
70	2	3	10086	0
71	2	3	15181	0
72	2	2	297	0
73	2	2	6394	0
74	2	1	996	0
75	2	3	9308	0
76	2	4	3318	0
77	2	2	767	0
78	2	2	1850	0
79	2	3	6833	0
80	2	1	197	0
81	2	3	1551	0
82	2	4	12806	0
83	2	3	11870	0
84	2	3	10619	0
85	2	4	16977	0
86	2	1	1764	0
87	2	3	8555	0
88	2	6	12277	0
89	2	1	197	0
90	2	3	10921	0
91	2	6	1199	0
92	2	2	1518	0
93	2	4	6636	0
94	2	1	7746	0
95	2	3	10328	0
96	2	2	10864	0
97	2	2	4504	0
98	2	1	1872	1
99	2	2	13047	0
100	2	5	767	0
101	2	6	16417	0
102	2	4	11962	0
103	2	2	1465	0
104	2	3	17819	0
105	2	3	6864	0
106	2	1	197	1
107	2	3	3449	0
108	2	2	2283	0
109	2	3	7576	0
110	2	1	679	0
111	2	3	2891	0
112	2	1	369	0
113	2	4	6910	0
114	2	1	2286	0
115	2	2	767	0
116	2	1	291	1
117	2	2	1705	0
118	2	4	11482	0
119	2	3	7167	0
120	2	4	7249	0
121	2	1	269	0
122	2	2	610	0
123	2	3	2072	0
124	2	5	10883	0
125	2	3	7112	0
126	2	2	6909	0
127	2	2	1103	0
128	2	4	2314	0
129	2	1	1331	0
130	2	1	771	0
131	2	1	244	0
132	2	3	7118	0
133	2	5	6871	0
134	2	4	7518	0
135	2	1	1703	0
136	2	2	3483	0
137	2	3	2094	0
138	2	2	2456	0
139	2	1	610	0
140	2	2	8572	0
141	2	2	7474	0
142	2	2	1708	0
143	2	3	7249	0
144	2	1	11275	0
145	2	3	551	0
146	2	2	10795	0
147	2	4	7543	0
149	2	2	9738	0
150	2	2	7763	0
151	2	4	6628	0
152	2	5	11792	0
32	3	3	4926	0
87	3	1	6906	1
86	3	3	3906	0
85	3	3	15328	0
14	3	3	9912	0
41	3	2	2929	0
84	3	1	8970	0
66	3	1	5038	0
142	3	4	3332	0
83	3	2	10222	0
82	3	7	11863	0
25	3	3	2577	0
81	3	5	3692	0
67	3	4	5277	0
31	3	2	5507	0
80	3	3	2207	0
79	3	1	5185	0
15	3	2	6356	0
78	3	3	3112	0
30	3	2	5596	0
141	3	1	5825	0
68	3	1	331	0
77	3	1	2909	1
76	3	3	5460	0
75	3	1	7660	0
74	3	4	3062	0
29	3	3	6753	0
134	3	2	5870	0
69	3	1	331	0
17	3	3	2437	0
23	3	4	4588	0
73	3	1	4746	0
16	3	4	3223	0
136	3	1	1834	0
140	3	1	6923	0
70	3	2	8438	0
72	3	3	2307	0
151	3	2	4979	0
71	3	2	13533	0
49	3	3	5413	0
28	3	2	6157	0
27	3	3	5956	0
26	3	1	608	1
42	3	1	649	0
50	3	2	5625	0
133	3	2	5223	0
40	3	2	2498	0
132	3	2	5470	0
131	3	2	2498	0
130	3	6	2913	0
21	3	1	7654	0
51	3	4	6645	0
137	3	1	630	0
45	3	3	3236	0
129	3	2	2929	0
5	3	2	5065	0
128	3	3	4455	0
52	3	4	9075	0
127	3	4	3015	0
44	3	3	9802	0
149	3	3	8090	0
126	3	6	5260	0
125	3	2	5464	0
6	3	2	2301	0
20	3	5	5750	0
53	3	3	2102	0
124	3	3	9234	0
39	3	6	5518	0
123	3	1	608	0
147	3	2	5894	0
122	3	3	2751	0
38	3	3	1733	0
54	3	1	516	0
121	3	3	2364	0
4	3	4	3692	0
152	3	2	10144	0
120	3	2	5601	0
119	3	2	5518	0
7	3	1	801	0
1	3	2	2207	0
118	3	7	10169	0
55	3	4	2085	0
117	3	5	3847	0
116	3	3	2301	0
8	3	4	16637	0
115	3	1	2909	1
56	3	1	8591	0
37	3	7	16876	0
46	3	2	7701	0
114	3	2	334	0
113	3	2	5261	0
146	3	1	9146	1
22	3	4	2947	0
9	3	2	6040	0
57	3	1	6166	0
112	3	2	2080	0
111	3	5	5032	0
19	3	2	9916	0
110	3	3	2821	0
109	3	2	5928	0
108	3	1	331	0
36	3	1	795	0
138	3	1	481	1
58	3	3	2592	0
107	3	6	5591	0
135	3	3	3845	0
59	3	2	6943	0
106	3	2	2207	0
150	3	3	6114	0
105	3	2	5216	0
104	3	7	16170	0
10	3	2	6177	0
103	3	3	3377	0
145	3	1	2102	0
43	3	1	2164	1
35	3	2	5744	0
60	3	3	10511	0
102	3	1	10313	0
2	3	2	5588	0
101	3	5	14769	0
144	3	3	9627	0
61	3	6	10669	0
100	3	1	2909	1
47	3	3	3557	0
11	3	1	6528	1
99	3	1	11398	1
98	3	2	631	0
97	3	1	6645	0
62	3	2	2415	0
96	3	3	9215	0
34	3	2	3110	0
95	3	1	8679	0
94	3	3	6098	0
12	3	6	2970	0
33	3	2	5401	0
24	3	2	3292	0
63	3	3	2502	0
93	3	2	4987	0
143	3	2	5600	0
92	3	3	3666	0
91	3	5	2616	0
90	3	1	9273	0
64	3	3	8457	0
139	3	3	2751	0
48	3	1	16242	0
89	3	3	2207	0
13	3	2	2307	0
88	3	5	10628	0
18	3	1	6652	0
65	3	2	5797	0
3	3	3	2102	0
111	4	7	14262	0
44	4	5	8946	0
45	4	7	13160	0
22	4	6	12871	0
46	4	5	5839	0
47	4	6	13481	0
48	4	7	8625	0
49	4	7	10757	0
137	4	7	10716	0
21	4	7	11478	0
50	4	7	10545	0
51	4	7	15122	0
52	4	5	7213	0
53	4	7	12025	0
20	4	4	14420	0
54	4	6	10602	0
55	4	7	12008	0
138	4	7	10579	0
56	4	7	12543	0
57	4	7	12857	0
58	4	6	12516	0
19	4	7	9060	0
59	4	7	10983	0
60	4	2	572	0
139	4	7	12675	0
61	4	7	12386	0
62	4	6	12338	0
63	4	7	12426	0
1	4	7	12131	0
64	4	7	8695	0
65	4	7	12213	0
66	4	7	11730	0
67	4	7	11968	0
18	4	5	4348	0
68	4	7	10405	0
69	4	7	10405	0
140	4	7	5042	0
17	4	7	12361	0
70	4	1	6575	0
71	4	7	6142	0
72	4	7	12231	0
3	4	7	12025	0
73	4	7	6177	0
74	4	7	12986	0
16	4	7	13421	0
75	4	7	11700	0
141	4	7	10395	0
76	4	7	13872	0
77	4	7	12832	0
78	4	7	13524	0
79	4	7	11877	0
80	4	4	12131	0
15	4	6	15281	0
81	4	7	13616	0
82	4	1	3158	0
14	4	1	1345	0
83	4	6	7109	0
84	4	5	11234	0
85	4	1	6788	1
151	4	6	12035	0
86	4	7	13830	0
142	4	7	13544	0
87	4	2	4712	0
88	4	1	689	0
89	4	7	12131	0
13	4	7	12231	0
90	4	7	11279	0
91	4	7	11941	0
92	4	7	13589	0
93	4	7	12043	0
143	4	6	12292	0
94	4	7	11847	0
95	4	7	10840	0
12	4	7	12894	0
96	4	6	10933	0
97	4	7	15122	0
98	4	7	10717	0
144	4	6	7503	0
99	4	6	9922	0
11	4	4	4520	0
100	4	7	12832	0
101	4	1	6228	0
102	4	5	11095	0
103	4	7	13301	0
104	4	2	7630	0
105	4	7	11589	0
106	4	6	12131	0
