n_stud,n_schools,alpha,beta,seed,sol_method,iterations,master objective values
1000,20,0.0,0.0,906691059,SD_UPON_DA,1,1.1539999999999868
1000,20,0.0,0.0,413653999,SD_UPON_DA,1,1.1279999999999881
1000,20,0.0,0.0,813847339,SD_UPON_DA,1,1.2109999999999839
1000,20,0.0,0.0,955892128,SD_UPON_DA,1,1.142999999999987
1000,20,0.0,0.0,451585301,SD_UPON_DA,1,1.1799999999999835
1000,20,0.0,0.0,43469773,SD_UPON_DA,1,1.1939999999999813
1000,20,0.0,0.0,278009742,SD_UPON_DA,1,1.2679999999999794
1000,20,0.0,0.0,548977048,SD_UPON_DA,1,1.1959999999999837
1000,20,0.0,0.0,521760889,SD_UPON_DA,1,1.1769999999999852
1000,20,0.0,0.0,434794718,SD_UPON_DA,1,1.1729999999999838
1000,20,0.0,0.0,985946604,SD_UPON_DA,1,1.1529999999999858
1000,20,0.0,0.0,841597326,SD_UPON_DA,1,1.1929999999999839
