n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EE_bug,diff_assignment,n_assigned_DA,n_assigned_EE,n_stud_impr_EE_DA,avg_rank_impr_EE_DA,median_rank_impr_EE_DA,n_stud_impr_EE_bug_DA,avg_rank_impr_EE_bug_DA,median_rank_impr_EE_bug_DA
1000,20,0.0,0.0,906691059,10,1,1.203,1.154,1.153,False,,,14,3.5,2.5,16,3.125,2.5
1000,20,0.0,0.0,413653999,10,1,1.149,1.128,1.131,False,,,8,2.625,2.5,8,2.25,1.5
1000,20,0.0,0.0,813847339,10,1,1.261,1.211,1.213,False,,,20,2.5,2.0,20,2.4,2.0
1000,20,0.0,0.0,955892128,10,1,1.153,1.143,1.145,False,,,5,2.0,2.0,5,1.6,1.0
1000,20,0.0,0.0,451585301,10,1,1.227,1.18,1.175,False,,,19,2.473684210526316,2.0,21,2.4761904761904763,2.0
1000,20,0.0,0.0,43469773,10,1,1.248,1.194,1.183,False,,,13,4.153846153846154,3.0,15,4.333333333333333,3.0
1000,20,0.0,0.0,278009742,10,1,1.344,1.268,1.268,False,,,27,2.814814814814815,2.0,31,2.4516129032258065,1.0
1000,20,0.0,0.0,548977048,10,1,1.23,1.196,1.192,False,,,15,2.2666666666666666,2.0,17,2.235294117647059,2.0
1000,20,0.0,0.0,521760889,10,1,1.21,1.177,1.18,False,,,13,2.5384615384615383,2.0,15,2.0,1.0
1000,20,0.0,0.0,434794718,10,1,1.206,1.173,1.17,False,,,15,2.2,2.0,17,2.1176470588235294,1.0
1000,20,0.0,0.0,985946604,10,1,1.268,1.153,1.158,False,,,35,3.2857142857142856,2.0,39,2.8205128205128207,2.0
1000,20,0.0,0.0,841597326,10,1,1.223,1.193,1.198,False,,,12,2.5,2.5,10,2.5,2.5
1000,20,0.0,0.0,891047768,10,1,1.336,1.252,1.261,False,,,21,4.0,3.0,31,2.4193548387096775,2.0
1000,20,0.0,0.0,325679554,10,1,1.181,1.163,1.163,True,,,6,3.0,1.0,6,3.0,1.0
1000,20,0.0,0.0,511742081,10,1,1.293,1.209,1.221,False,,,24,3.5,2.0,27,2.6666666666666665,2.0
